Time,Amplitude
1.568,-0.07079986754020005
1.57,-0.07739951037590641
1.572,-0.07729091182451785
1.574,-0.06789766998898915
1.576,-0.05827579831538691
1.578,-0.05776894689332286
1.58,-0.06749780459749492
1.582,-0.08180891552316208
1.584,-0.08852828150325896
1.586,-0.08554719193457624
1.588,-0.07824512650977357
1.59,-0.07311512856747301
1.592,-0.07552778052614383
1.594,-0.08006998467419014
1.596,-0.08336399830785461
1.598,-0.0827342415486557
1.6,-0.07643248660418916
1.602,-0.06962570781439334
1.604,-0.06709092056055949
1.606,-0.07320999887382884
1.608,-0.0865857438473495
1.61,-0.0997629703007427
1.612,-0.10206912366498767
1.614,-0.08920383857077165
1.616,-0.0687177669455858
1.618,-0.05546905552758736
1.62,-0.05977737133509834
1.622,-0.0756591655116343
1.624,-0.09175283090726723
1.626,-0.09586629139410077
1.628,-0.09275800826888936
1.63,-0.09431366609297342
1.632,-0.10720144278011086
1.634,-0.1264636678166883
1.636,-0.13764502055317404
1.638,-0.1319923103176766
1.64,-0.106232857146693
1.642,-0.06776981951025693
1.644,-0.01929351939848825
1.646,0.039457103955750056
1.648,0.11078627232077783
1.65,0.19659164941651114
1.652,0.297089049492848
1.654,0.4084039796290573
1.656,0.5206623865986
1.658,0.6184031624539905
1.66,0.6864795893020701
1.662,0.7129871903356935
1.664,0.7001568928775296
1.666,0.6560984237483015
1.668,0.5808865926621238
1.67,0.46722326740974257
1.672,0.310563646970666
1.674,0.11946323083240827
1.676,-0.07760165767331444
1.678,-0.24341328438604767
1.68,-0.35896527989695054
1.682,-0.42390715003861773
1.684,-0.4523846794204601
1.686,-0.4593073491143679
1.688,-0.4498708980145383
1.69,-0.4244992025840551
1.692,-0.3867960367522931
1.694,-0.346819240088053
1.696,-0.3155032709124937
1.698,-0.2975709703532092
1.7,-0.28834905779953907
1.702,-0.28408281806892344
1.704,-0.276688219400074
1.706,-0.26121781989937043
1.708,-0.2352730642651719
1.71,-0.20141462398139293
1.712,-0.16694106444028992
1.714,-0.13985699394519396
1.716,-0.12005910145124785
1.718,-0.10171243333948053
1.72,-0.08116724130158989
1.722,-0.06197850500119937
1.724,-0.05320592339301393
1.726,-0.05792358676794569
1.728,-0.07242474744709142
1.73,-0.08308777373823283
1.732,-0.08071379193389618
1.734,-0.06767397415571212
1.736,-0.05037232737952124
1.738,-0.03994182524082273
1.74,-0.038928379807694834
1.742,-0.04574831300247157
1.744,-0.05224338412931169
1.746,-0.05541897101621764
1.748,-0.0509177737557851
1.75,-0.04043389073955743
1.752,-0.030732988822413505
1.754,-0.02849340765441036
1.756,-0.035472161060226375
1.758,-0.0421530746293538
1.76,-0.03805122085537033
1.762,-0.022486775153442943
1.764,-0.007292056868458368
1.766,-0.007345228832947979
1.768,-0.023272031523695808
1.77,-0.04075738232338055
1.772,-0.04367662584659736
1.774,-0.028737571923411205
1.776,-0.010609591263169734
